// Validating benchmarks:
Assembly LINQPadQuery, Version=1.0.0.1831, Culture=neutral, PublicKeyToken=null is located in temp. If you are running benchmarks from xUnit you need to disable shadow copy. It's not supported by design.
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 4 benchmarks:
//   AoC2019Day1.Part1Linq: DefaultJob
//   AoC2019Day1.Part2Linq: DefaultJob
//   AoC2019Day1.Part1Foreach: DefaultJob
//   AoC2019Day1.Part2Foreach: DefaultJob

// **************************
// Benchmark: AoC2019Day1.Part1Linq: DefaultJob
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadWarmup   4: 524288 op, 1096700.00 ns, 2.0918 ns/op
OverheadWarmup   5: 524288 op, 1149200.00 ns, 2.1919 ns/op
OverheadWarmup   6: 524288 op, 1169800.00 ns, 2.2312 ns/op
OverheadWarmup   7: 524288 op, 1454700.00 ns, 2.7746 ns/op
OverheadWarmup   8: 524288 op, 1442600.00 ns, 2.7515 ns/op
OverheadWarmup   9: 524288 op, 1136700.00 ns, 2.1681 ns/op
OverheadWarmup  10: 524288 op, 1071200.00 ns, 2.0432 ns/op

OverheadActual   1: 524288 op, 1017400.00 ns, 1.9405 ns/op
OverheadActual   2: 524288 op, 1604500.00 ns, 3.0603 ns/op
OverheadActual   3: 524288 op, 1099400.00 ns, 2.0969 ns/op
OverheadActual   4: 524288 op, 1178700.00 ns, 2.2482 ns/op
OverheadActual   5: 524288 op, 1436200.00 ns, 2.7393 ns/op
OverheadActual   6: 524288 op, 1039900.00 ns, 1.9835 ns/op
OverheadActual   7: 524288 op, 1133700.00 ns, 2.1624 ns/op
OverheadActual   8: 524288 op, 1160700.00 ns, 2.2139 ns/op
OverheadActual   9: 524288 op, 1447600.00 ns, 2.7611 ns/op
OverheadActual  10: 524288 op, 1018100.00 ns, 1.9419 ns/op
OverheadActual  11: 524288 op, 1797900.00 ns, 3.4292 ns/op
OverheadActual  12: 524288 op, 1397800.00 ns, 2.6661 ns/op
OverheadActual  13: 524288 op, 1051700.00 ns, 2.0060 ns/op
OverheadActual  14: 524288 op, 1417600.00 ns, 2.7039 ns/op
OverheadActual  15: 524288 op, 1383000.00 ns, 2.6379 ns/op
OverheadActual  16: 524288 op, 1284700.00 ns, 2.4504 ns/op
OverheadActual  17: 524288 op, 1338700.00 ns, 2.5534 ns/op
OverheadActual  18: 524288 op, 1463000.00 ns, 2.7905 ns/op
OverheadActual  19: 524288 op, 1453600.00 ns, 2.7725 ns/op
OverheadActual  20: 524288 op, 1369000.00 ns, 2.6112 ns/op

WorkloadWarmup   1: 524288 op, 871617900.00 ns, 1.6625 us/op
WorkloadWarmup   2: 524288 op, 855666100.00 ns, 1.6321 us/op
WorkloadWarmup   3: 524288 op, 790544700.00 ns, 1.5078 us/op
WorkloadWarmup   4: 524288 op, 946053300.00 ns, 1.8045 us/op
WorkloadWarmup   5: 524288 op, 886982900.00 ns, 1.6918 us/op
WorkloadWarmup   6: 524288 op, 946667500.00 ns, 1.8056 us/op
WorkloadWarmup   7: 524288 op, 862805700.00 ns, 1.6457 us/op

WorkloadActual   1: 524288 op, 783508300.00 ns, 1.4944 us/op
WorkloadActual   2: 524288 op, 790747800.00 ns, 1.5082 us/op
WorkloadActual   3: 524288 op, 767008600.00 ns, 1.4630 us/op
WorkloadActual   4: 524288 op, 766806100.00 ns, 1.4626 us/op
WorkloadActual   5: 524288 op, 789638600.00 ns, 1.5061 us/op
WorkloadActual   6: 524288 op, 765854400.00 ns, 1.4608 us/op
WorkloadActual   7: 524288 op, 800729100.00 ns, 1.5273 us/op
WorkloadActual   8: 524288 op, 777926600.00 ns, 1.4838 us/op
WorkloadActual   9: 524288 op, 786007800.00 ns, 1.4992 us/op
WorkloadActual  10: 524288 op, 785861900.00 ns, 1.4989 us/op
WorkloadActual  11: 524288 op, 791722800.00 ns, 1.5101 us/op
WorkloadActual  12: 524288 op, 778371600.00 ns, 1.4846 us/op
WorkloadActual  13: 524288 op, 796243400.00 ns, 1.5187 us/op
WorkloadActual  14: 524288 op, 836388800.00 ns, 1.5953 us/op
WorkloadActual  15: 524288 op, 792085100.00 ns, 1.5108 us/op

WorkloadResult   1: 524288 op, 782154450.00 ns, 1.4918 us/op
WorkloadResult   2: 524288 op, 789393950.00 ns, 1.5056 us/op
WorkloadResult   3: 524288 op, 765654750.00 ns, 1.4604 us/op
WorkloadResult   4: 524288 op, 765452250.00 ns, 1.4600 us/op
WorkloadResult   5: 524288 op, 788284750.00 ns, 1.5035 us/op
WorkloadResult   6: 524288 op, 764500550.00 ns, 1.4582 us/op
WorkloadResult   7: 524288 op, 799375250.00 ns, 1.5247 us/op
WorkloadResult   8: 524288 op, 776572750.00 ns, 1.4812 us/op
WorkloadResult   9: 524288 op, 784653950.00 ns, 1.4966 us/op
WorkloadResult  10: 524288 op, 784508050.00 ns, 1.4963 us/op
WorkloadResult  11: 524288 op, 790368950.00 ns, 1.5075 us/op
WorkloadResult  12: 524288 op, 777017750.00 ns, 1.4820 us/op
WorkloadResult  13: 524288 op, 794889550.00 ns, 1.5161 us/op
WorkloadResult  14: 524288 op, 790731250.00 ns, 1.5082 us/op


Mean = 1.4923 us, StdErr = 0.0057 us (0.38%); N = 14, StdDev = 0.0213 us
Min = 1.4582 us, Q1 = 1.4812 us, Median = 1.4965 us, Q3 = 1.5075 us, Max = 1.5247 us
IQR = 0.0263 us, LowerFence = 1.4417 us, UpperFence = 1.5470 us
ConfidenceInterval = [1.4683 us; 1.5163 us] (CI 99.9%), Margin = 0.0240 us (1.61% of Mean)
Skewness = -0.37, Kurtosis = 1.77, MValue = 2

// **************************
// Benchmark: AoC2019Day1.Part2Linq: DefaultJob
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 322500.00 ns, 322.5000 us/op
WorkloadJitting  1: 1 op, 2133100.00 ns, 2.1331 ms/op

OverheadJitting  2: 16 op, 1039300.00 ns, 64.9562 us/op
WorkloadJitting  2: 16 op, 2708300.00 ns, 169.2688 us/op

WorkloadPilot    1: 16 op, 697100.00 ns, 43.5688 us/op
WorkloadPilot    2: 32 op, 960700.00 ns, 30.0219 us/op
WorkloadPilot    3: 64 op, 1049900.00 ns, 16.4047 us/op
WorkloadPilot    4: 128 op, 2785900.00 ns, 21.7648 us/op
WorkloadPilot    5: 256 op, 12362200.00 ns, 48.2898 us/op
WorkloadPilot    6: 512 op, 29684800.00 ns, 57.9781 us/op
WorkloadPilot    7: 1024 op, 45265400.00 ns, 44.2045 us/op
WorkloadPilot    8: 2048 op, 79425800.00 ns, 38.7821 us/op
WorkloadPilot    9: 4096 op, 143993300.00 ns, 35.1546 us/op
WorkloadPilot   10: 8192 op, 260416200.00 ns, 31.7891 us/op
WorkloadPilot   11: 16384 op, 550230800.00 ns, 33.5834 us/op

OverheadWarmup   1: 16384 op, 102000.00 ns, 6.2256 ns/op
OverheadWarmup   2: 16384 op, 61500.00 ns, 3.7537 ns/op
OverheadWarmup   3: 16384 op, 39700.00 ns, 2.4231 ns/op
OverheadWarmup   4: 16384 op, 45600.00 ns, 2.7832 ns/op
OverheadWarmup   5: 16384 op, 30700.00 ns, 1.8738 ns/op
OverheadWarmup   6: 16384 op, 30900.00 ns, 1.8860 ns/op
OverheadWarmup   7: 16384 op, 40300.00 ns, 2.4597 ns/op
OverheadWarmup   8: 16384 op, 169500.00 ns, 10.3455 ns/op
OverheadWarmup   9: 16384 op, 53500.00 ns, 3.2654 
